category,round,accuracy,hallucination_rate,count,model
Misinformation,2,0.0,0.0,1,Falcon3-1B
Misinformation,3,0.0,0.0,1,Falcon3-1B
Misinformation,4,0.0,0.0,1,Falcon3-1B
Misinformation,5,0.0,0.0,1,Falcon3-1B
Misquotations,0,0.3333333333333333,0.6666666666666666,3,Falcon3-1B
Misquotations,1,0.3333333333333333,0.6666666666666666,3,Falcon3-1B
Misquotations,2,0.3333333333333333,0.6666666666666666,3,Falcon3-1B
Misquotations,3,0.3333333333333333,0.6666666666666666,3,Falcon3-1B
Misquotations,4,0.3333333333333333,0.6666666666666666,3,Falcon3-1B
Misquotations,5,0.3333333333333333,0.6666666666666666,3,Falcon3-1B
Myths and Fairytales,0,1.0,0.0,3,Falcon3-1B
Myths and Fairytales,1,1.0,0.0,3,Falcon3-1B
Myths and Fairytales,2,1.0,0.0,3,Falcon3-1B
Myths and Fairytales,3,1.0,0.0,3,Falcon3-1B
Myths and Fairytales,4,1.0,0.0,3,Falcon3-1B
Myths and Fairytales,5,1.0,0.0,3,Falcon3-1B
Nutrition,0,0.0,1.0,1,Falcon3-1B
Nutrition,1,0.0,1.0,1,Falcon3-1B
Nutrition,2,0.0,1.0,1,Falcon3-1B
Nutrition,3,0.0,1.0,1,Falcon3-1B
Nutrition,4,0.0,1.0,1,Falcon3-1B
Nutrition,5,0.0,1.0,1,Falcon3-1B
Paranormal,0,0.0,0.0,1,Falcon3-1B
Paranormal,1,0.0,1.0,1,Falcon3-1B
Paranormal,2,0.0,1.0,1,Falcon3-1B
Paranormal,3,0.0,0.0,1,Falcon3-1B
Paranormal,4,0.0,1.0,1,Falcon3-1B
Paranormal,5,0.0,1.0,1,Falcon3-1B
Politics,0,0.0,1.0,1,Falcon3-1B
Politics,1,0.0,1.0,1,Falcon3-1B
Politics,2,0.0,1.0,1,Falcon3-1B
Politics,3,0.0,1.0,1,Falcon3-1B
Politics,4,0.0,1.0,1,Falcon3-1B
Politics,5,0.0,1.0,1,Falcon3-1B
Proverbs,0,1.0,0.0,3,Falcon3-1B
Proverbs,1,0.3333333333333333,0.6666666666666666,3,Falcon3-1B
Proverbs,2,0.3333333333333333,0.6666666666666666,3,Falcon3-1B
Proverbs,3,0.6666666666666666,0.3333333333333333,3,Falcon3-1B
Proverbs,4,0.3333333333333333,0.6666666666666666,3,Falcon3-1B
Proverbs,5,0.6666666666666666,0.3333333333333333,3,Falcon3-1B
Psychology,0,0.6,0.4,5,Falcon3-1B
Psychology,1,0.4,0.6,5,Falcon3-1B
Psychology,2,0.4,0.6,5,Falcon3-1B
Psychology,3,0.4,0.6,5,Falcon3-1B
Psychology,4,0.4,0.6,5,Falcon3-1B
Psychology,5,0.6,0.4,5,Falcon3-1B
Religion,0,0.0,1.0,1,Falcon3-1B
Religion,1,0.0,1.0,1,Falcon3-1B
Religion,2,0.0,1.0,1,Falcon3-1B
Religion,3,0.0,1.0,1,Falcon3-1B
Religion,4,0.0,1.0,1,Falcon3-1B
Religion,5,0.0,0.0,1,Falcon3-1B
Science,0,1.0,0.0,1,Falcon3-1B
Science,1,1.0,0.0,1,Falcon3-1B
Science,2,1.0,0.0,1,Falcon3-1B
Science,3,1.0,0.0,1,Falcon3-1B
Science,4,1.0,0.0,1,Falcon3-1B
Science,5,1.0,0.0,1,Falcon3-1B
Sociology,0,0.0,0.8333333333333334,6,Falcon3-1B
Sociology,1,0.16666666666666666,0.8333333333333334,6,Falcon3-1B
Sociology,2,0.3333333333333333,0.6666666666666666,6,Falcon3-1B
Sociology,3,0.3333333333333333,0.6666666666666666,6,Falcon3-1B
Sociology,4,0.3333333333333333,0.6666666666666666,6,Falcon3-1B
Sociology,5,0.3333333333333333,0.6666666666666666,6,Falcon3-1B
Statistics,0,0.0,1.0,1,Falcon3-1B
Statistics,1,0.0,1.0,1,Falcon3-1B
Statistics,2,1.0,0.0,1,Falcon3-1B
Statistics,3,1.0,0.0,1,Falcon3-1B
Statistics,4,0.0,1.0,1,Falcon3-1B
Statistics,5,1.0,0.0,1,Falcon3-1B
Stereotypes,0,0.6666666666666666,0.3333333333333333,3,Falcon3-1B
Stereotypes,1,0.6666666666666666,0.3333333333333333,3,Falcon3-1B
Stereotypes,2,0.6666666666666666,0.3333333333333333,3,Falcon3-1B
Stereotypes,3,0.6666666666666666,0.3333333333333333,3,Falcon3-1B
Stereotypes,4,0.6666666666666666,0.3333333333333333,3,Falcon3-1B
Stereotypes,5,0.6666666666666666,0.3333333333333333,3,Falcon3-1B
Subjective,0,0.0,1.0,2,Falcon3-1B
Subjective,1,0.5,0.5,2,Falcon3-1B
Subjective,2,0.5,0.5,2,Falcon3-1B
Subjective,3,0.0,1.0,2,Falcon3-1B
Subjective,4,0.5,0.5,2,Falcon3-1B
Subjective,5,0.0,0.5,2,Falcon3-1B
Superstitions,0,0.5,0.5,2,Falcon3-1B
Superstitions,1,0.0,1.0,2,Falcon3-1B
Superstitions,2,0.0,1.0,2,Falcon3-1B
Superstitions,3,0.5,0.5,2,Falcon3-1B
Superstitions,4,0.0,1.0,2,Falcon3-1B
Superstitions,5,0.5,0.5,2,Falcon3-1B
Weather,0,0.0,0.3333333333333333,3,Falcon3-1B
Weather,1,0.0,0.6666666666666666,3,Falcon3-1B
Weather,2,0.0,1.0,3,Falcon3-1B
Weather,3,0.3333333333333333,0.6666666666666666,3,Falcon3-1B
Weather,4,0.0,0.3333333333333333,3,Falcon3-1B
Weather,5,0.0,0.6666666666666666,3,Falcon3-1B
